,Description,Unit,Qty,,Cost per Unit,,,,Total,
,Hufi Gluten Free 440ml 4pk Can 4.2%,6 x 4 Pack,1,,¤ 30.40,,,,¤ 30.40,
,Huzzar Vodka 350Ml 37.5%,12 x Single Item,4,,¤ 99.75,,,,¤ 399.00,
,Huzzar Vodka Naggin 200Ml 37.5%,24 x Single Item,2,,¤ 112.95,,,,¤ 225.90,
,I Heart Merlot 750ml,6 x Single Item,1,,¤ 35.50,,,,¤ 35.50,
,I Heart Pinot Grigio ,6 x Single Item,10,,¤ 35.50,,,,¤ 355.00,
,I Heart Sauv Blanc 750ml,6 x Single Item,3,,¤ 35.50,,,,¤ 106.50,
,Ishka Spring Water 2L,6 x Single Item,1,,¤ 5.35,,,,¤ 5.35,
,Ishka Spring Water Flat 500Ml,24 x Single Item,2,,¤ 6.10,,,,¤ 12.20,
,Jack Daniels 50Ml 40% Mini,10 x Single Item,2,,¤ 27.50,,,,¤ 55.00,
,Jack Daniels Honey 700Ml 35%,6 x Single Item,0.666599989,,¤ 171.95,,,,¤ 114.62,
,Jack Daniels Naggin 200Ml 40%,Single,6,,¤ 9.02,,,,¤ 54.12,
,Jack Daniels Tenn Apple 700ml 35%,6 x Single Item,0.5,,¤ 171.30,,,,¤ 85.65,
,Jagermester 350ml 35%,6 x Single Item,1,,¤ 71.58,,,,¤ 71.58,
,Jameson  Irish Whiskey 500ml 40%,Single Item,5,,¤ 19.08,,,,¤ 95.40,
,Jameson Black Barrel (6pk),6 x Single Item,1,,¤ 241.50,,,,¤ 241.50,
,Jameson Ginger & Lime,12 x Single Item,1,,¤ 22.95,,,,¤ 22.95,
,Jameson Irish Whiskey 350Ml 40%,12 x Single Item,1,,¤ 159.50,,,,¤ 159.50,
,Jameson Irish Whiskey 700Ml 40%,6 x Single Item,1,,¤ 134.00,,,,¤ 134.00,
,Jameson Irish Whiskey Mini 50Ml 40%,12 x Single Item,1,,¤ 27.99,,,,¤ 27.99,
,Johnnie Walker Red Label 700Ml 40%,6 x Single Item,0.5,,¤ 123.96,,,,¤ 61.98,
,Karpackie 440ml 4 Pack Can 4.8% Pm7,24 x Single Item,5,,¤ 27.19,,,,¤ 135.95,
,Kleiner Feigling Coco Bisc 2cl ,12 x Single Item,2,,¤ 7.50,,,,¤ 15.00,
,Kopp/B Mxd Fr Can 500 4Pk pm12 4%,24 x Single Item,2,,¤ 46.85,,,,¤ 93.70,
,Kopp/B Str&Li Can 500ml 4Pk PM12 4%,24 x Single Item,3,,¤ 46.85,,,,¤ 140.55,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Kopparberg Mixed Fruit Alcohol Free 500ml X8 Btl,8 x Single Item,1,,¤ 14.55,,,,¤ 14.55,
,Krupnik Cherry Liqueur 50cl 30%,12 x Single Item,0.333299994,,¤ 120.97,,,,¤ 40.32,
,Krupnik Plum Liq 10cl 30%,16 x Single Item,1,,¤ 38.00,,,,¤ 38.00,
,Krupnik Vodka 40% 100Ml,16 x Single Item,1,,¤ 44.00,,,,¤ 44.00,
,Krupnik Vodka 40% 200ML,20 x Single Item,1,,¤ 96.50,,,,¤ 96.50,
,Krupnik Vodka 40% 700Ml,12 x Single Item,0.5,,¤ 179.96,,,,¤ 89.98,
,Krupnik Vodka 500ml 40%,12 x Single Item,0.25,,¤ 139.80,,,,¤ 34.95,
,Kulana Pineapple Juice,12 x Single Item,1,,¤ 18.75,,,,¤ 18.75,
